Datetime,State,City,UrbanRural,Hour,DayOfWeek,Month,IsWeekend,Temperature,Electricity_Price,Hourly_Electricity_Demand,load_t_1,load_t_24,load_t_168,rolling_mean_24,rolling_max_24,rolling_std_24,rolling_mean_168
2023-01-08 00:00:00,Karnataka,Bengaluru,Urban,0,6,1,1,7.04,4.56,807.19,673.48,695.92,765.95,849.2420833333332,1160.42,150.50653976775337,929.2971428571427
2023-01-08 01:00:00,Uttar Pradesh,Lucknow,Semi-Urban,1,6,1,1,11.93,7.15,454.1,807.19,644.47,725.36,841.3100000000001,1160.42,165.98803715406987,927.6825
2023-01-08 02:00:00,Delhi,New Delhi,Urban,2,6,1,1,7.82,6.98,709.15,454.1,749.84,777.13,839.6145833333334,1160.42,167.16656275752837,927.2778571428571
2023-01-08 03:00:00,Tamil Nadu,Chennai,Urban,3,6,1,1,13.02,7.51,770.1,709.15,829.1,354.34,837.15625,1160.42,167.7606800024705,929.7526190476191
2023-01-08 04:00:00,Delhi,New Delhi,Urban,4,6,1,1,10.17,5.52,702.63,770.1,735.53,780.17,835.7854166666666,1160.42,168.75866086577648,929.2910714285714
2023-01-08 05:00:00,Uttar Pradesh,Noida,Urban,5,6,1,1,10.11,6.16,875.28,702.63,778.15,643.02,839.8325,1160.42,168.48081517025847,930.6735714285714
2023-01-08 06:00:00,Uttar Pradesh,Lucknow,Semi-Urban,6,6,1,1,12.83,4.05,576.32,875.28,907.26,898.27,826.0433333333334,1160.42,176.0931127129268,928.7572023809525
2023-01-08 07:00:00,Karnataka,Bengaluru,Urban,7,6,1,1,10.83,5.01,993.84,576.32,896.27,695.64,830.10875,1160.42,178.88900054436235,930.5322023809524
2023-01-08 08:00:00,Uttar Pradesh,Noida,Urban,8,6,1,1,6.44,5.85,974.8,993.84,1030.83,885.42,827.7741666666666,1160.42,176.5053324460314,931.0642261904762
2023-01-08 09:00:00,Karnataka,Bengaluru,Urban,9,6,1,1,10.56,6.02,843.73,974.8,859.26,847.11,827.1270833333333,1160.42,176.413327222061,931.0441071428571
