State,Temperature,Electricity_Price,UrbanRural_Classification,date,Time,Peak_Electricity_Demand,City
Rajasthan,6.901904355,6.296577769,Urban,04-04-2021,05:53,61417.58,Udaipur
Karnataka,30.64859961,3.931352785,Urban,09-07-2022,16:15,47419.26,Bengaluru
Uttar Pradesh,7.577505022,9.552835324,Urban,20-05-2019,03:13,11840.26,Lucknow
West Bengal,34.35320478,8.428190743,Rural,20-12-2019,01:33,60730.66,Siliguri
Rajasthan,26.5636058,5.27890486,Urban,14-06-2020,10:25,30285.67,Jodhpur
Telangana,12.94331913,4.808490335,Urban,09-04-2023,11:21,9427.73,Unknown
Tamil Nadu,26.58091774,9.120068548,Urban,19-03-2021,09:47,51809.67,Madurai
Rajasthan,12.31990866,5.988496373,Urban,24-08-2020,07:19,54958.24,Jodhpur
Uttar Pradesh,22.5494883,9.039024766,Urban,21-02-2022,17:25,49220.39,Lucknow
West Bengal,36.98241265,8.197194638,Urban,27-03-2023,04:22,49249.1,Kolkata
Karnataka,23.47677174,3.644826057,Rural,27-01-2021,06:22,11544.27,Mangalore
Uttar Pradesh,10.94797273,8.695227558,Urban,16-05-2022,12:23,16285.51,Agra
Uttar Pradesh,33.95314727,6.779167303,Urban,07-05-2020,10:40,49538.74,Varanasi
Tamil Nadu,12.47073665,7.743200983,Rural,26-03-2019,07:26,13480.16,Chennai
Gujarat,34.54199497,4.533031264,Urban,22-04-2019,09:39,26051.32,Vadodara
West Bengal,24.17409157,3.001894028,Urban,10-11-2023,11:10,46006.45,Siliguri
Maharashtra,23.14967036,5.335816652,Urban,10-11-2019,20:20,48019.59,Nashik
Uttar Pradesh,39.05740151,4.334391368,Urban,12-06-2019,06:01,30044.53,Agra
Gujarat,33.34414097,6.046515602,Rural,17-08-2023,23:51,50546.34,Surat
Maharashtra,6.316431878,3.636284677,Urban,04-05-2022,20:48,51106.98,Pune
West Bengal,16.84697258,9.265324105,Urban,07-01-2021,15:19,44257.31,Kolkata
Delhi,39.83682643,3.831067101,Rural,02-02-2021,13:44,13646.59,Unknown
Telangana,5.733046742,8.349294514,Urban,19-01-2021,14:27,17113.38,Unknown
Gujarat,26.81013785,9.575271722,Urban,25-11-2022,22:41,20050.22,Vadodara
Madhya Pradesh,34.11302677,4.037599265,Urban,10-06-2020,04:59,8055.96,Jabalpur
Delhi,29.87424342,5.425337555,Urban,15-12-2022,08:17,19827.25,Unknown
Telangana,35.42128808,8.117437417,Rural,02-10-2021,14:22,12826.6,Unknown
Tamil Nadu,34.02767396,8.001234546,Rural,22-01-2021,03:17,30081.58,Madurai
Rajasthan,32.68122781,3.261765352,Urban,25-09-2023,18:10,60788.71,Jodhpur
Karnataka,37.86159444,3.494858384,Urban,12-07-2020,10:08,6344.34,Mangalore
Madhya Pradesh,30.82762674,3.840977426,Rural,18-10-2022,05:13,48554.48,Jabalpur
Tamil Nadu,21.09673977,6.976153059,Rural,07-12-2021,23:18,40327.19,Salem
West Bengal,23.8763644,3.385301759,Rural,07-08-2023,06:23,5900.16,Kolkata
Tamil Nadu,33.66899131,7.118869635,Urban,26-01-2019,02:40,68307.07,Chennai
Rajasthan,40.05224119,5.397233886,Urban,25-04-2021,14:17,42565.35,Jaipur
West Bengal,15.88875203,7.685873034,Rural,06-09-2023,08:30,26338.42,Asansol
Madhya Pradesh,18.68307184,8.474296335,Urban,28-01-2023,16:19,46367.4,Jabalpur
Rajasthan,42.22957585,8.539795267,Rural,28-07-2021,18:40,15080.8,Udaipur
Maharashtra,28.1404717,3.26344377,Urban,11-06-2023,04:20,47844,Nashik
Karnataka,12.15847269,9.63036729,Rural,22-12-2020,10:17,3146.39,Mysuru
Madhya Pradesh,31.54780556,7.106524008,Urban,23-07-2022,11:22,48308.48,Indore
Maharashtra,44.63048622,9.269893668,Urban,04-03-2023,13:31,29446.03,Nashik
Telangana,37.93814258,7.30601627,Urban,12-10-2022,10:45,35658.33,Unknown
Madhya Pradesh,34.82964546,6.388819195,Rural,20-03-2021,01:21,16761.55,Bhopal
Telangana,13.32186617,8.108100311,Urban,13-05-2020,22:44,40937.64,Unknown
West Bengal,40.04559139,4.535948841,Rural,12-03-2020,06:10,52861.19,Durgapur
Maharashtra,26.03155374,3.722583561,Urban,23-12-2021,00:20,29299.41,Pune
Karnataka,40.57160088,3.633487538,Rural,21-09-2023,13:54,40650.19,Mangalore
Rajasthan,18.19311318,8.943952479,Urban,24-03-2022,08:22,30445.95,Kota
Uttar Pradesh,7.482042105,9.387113544,Urban,04-03-2021,23:45,52542.73,Kanpur
Tamil Nadu,24.03903875,8.700897993,Urban,07-12-2022,13:34,37410.87,Chennai
Delhi,15.79350419,9.331035416,Rural,30-10-2023,01:04,59461.28,Unknown
Karnataka,33.60917159,9.8934303,Urban,10-04-2021,20:05,59278.33,Hubli
Maharashtra,43.28426211,6.682412159,Rural,29-03-2019,11:16,30354.11,Nagpur
Uttar Pradesh,32.63896605,4.077163988,Urban,05-04-2020,11:51,15921.52,Varanasi
Karnataka,40.47735719,7.255485633,Urban,04-10-2020,06:22,30257.81,Mangalore
Maharashtra,23.12096054,5.477252888,Urban,09-01-2022,23:27,47002.89,Mumbai
Gujarat,35.86562949,5.425140175,Urban,08-12-2020,09:46,13867.11,Surat
Gujarat,38.72173747,8.094656776,Rural,11-08-2021,12:24,29584.24,Ahmedabad
Telangana,33.4350251,3.634554817,Rural,25-04-2022,00:44,49699.54,Unknown
Karnataka,25.31109144,3.262720567,Rural,26-10-2023,11:48,22594.88,Mangalore
Gujarat,30.03464438,7.866921275,Urban,21-01-2019,00:06,39022.99,Ahmedabad
Maharashtra,33.02027983,4.825108498,Rural,27-02-2023,14:38,18120.96,Mumbai
Telangana,15.12337613,5.698508366,Rural,05-09-2019,09:30,7343.54,Unknown
Maharashtra,37.38317044,5.153430895,Urban,23-10-2021,00:08,48279.17,Mumbai
Telangana,43.01298156,7.303888459,Rural,16-06-2021,08:46,7110.84,Unknown
Karnataka,23.60957261,4.081608774,Urban,30-06-2023,17:46,16112.14,Mangalore
Uttar Pradesh,33.04268732,8.044116381,Urban,05-01-2019,22:55,60853.28,Kanpur
Rajasthan,34.48103623,9.474488696,Rural,03-01-2020,01:46,19941.59,Kota
Madhya Pradesh,31.4899019,8.852760817,Rural,15-05-2021,11:49,72743.35,Bhopal
Uttar Pradesh,26.88460433,9.349258786,Urban,30-09-2023,02:33,69031.56,Agra
West Bengal,40.26591818,9.559495998,Urban,13-06-2021,12:43,16252.92,Kolkata
Maharashtra,22.95706837,5.606339277,Urban,19-06-2020,05:54,2786.85,Nashik
West Bengal,7.444118259,8.570181266,Rural,02-04-2023,00:47,50487.84,Asansol
Uttar Pradesh,38.78225503,6.463779304,Rural,29-09-2021,22:32,31559.49,Kanpur
Telangana,31.95925089,4.888412189,Urban,03-12-2021,14:36,7636.09,Unknown
Madhya Pradesh,38.97034506,8.228174169,Urban,18-09-2019,02:09,50033.56,Jabalpur
Madhya Pradesh,10.5418977,4.708900038,Rural,19-08-2019,21:50,2307.99,Jabalpur
Delhi,6.23011762,3.76734377,Rural,31-03-2020,14:56,54180.23,Unknown
Madhya Pradesh,42.37498162,7.932336911,Rural,29-08-2023,00:49,8440.9,Indore
Rajasthan,10.90913223,5.012885095,Urban,09-03-2022,09:56,9830.44,Kota
Madhya Pradesh,37.38609328,5.141431418,Rural,04-12-2023,23:46,12408.04,Gwalior
Uttar Pradesh,37.92839769,9.167859834,Urban,23-07-2019,02:06,59194.14,Lucknow
Delhi,33.34820802,3.948774578,Urban,10-06-2020,17:35,39178.11,Unknown
Uttar Pradesh,10.25048844,8.353922125,Urban,28-09-2022,13:03,49181.28,Kanpur
Uttar Pradesh,31.69594498,5.703487783,Rural,11-11-2022,10:05,24826.49,Kanpur
Tamil Nadu,40.56346333,9.251072457,Rural,21-03-2022,20:40,23866.59,Chennai
Delhi,22.02126579,6.082409406,Rural,02-09-2022,02:51,16405.21,Unknown
Uttar Pradesh,21.54067418,5.863160236,Urban,30-04-2023,14:55,35342.18,Agra
Tamil Nadu,22.71433238,6.00906278,Urban,31-07-2019,03:18,35851.04,Salem
Tamil Nadu,8.290875627,8.863833192,Rural,03-10-2020,22:10,36470.08,Coimbatore
Delhi,40.68102276,3.073571438,Rural,28-01-2021,19:51,18323.84,Unknown
West Bengal,39.76731456,7.934041139,Urban,29-04-2020,21:42,66646.46,Siliguri
Telangana,44.91637287,4.436682198,Urban,17-01-2019,18:19,11792.18,Unknown
Rajasthan,28.40732566,9.17487862,Rural,15-09-2023,08:56,68024.85,Kota
Telangana,35.04766546,5.631486579,Urban,04-04-2021,11:08,1602.93,Unknown
Madhya Pradesh,13.10687625,5.372689044,Rural,02-09-2019,13:31,31831.54,Indore
Rajasthan,31.70115273,7.988370675,Urban,27-01-2021,01:08,21609.45,Jaipur
Madhya Pradesh,30.98931395,8.057143107,Urban,20-08-2023,12:40,25235.9,Indore
Uttar Pradesh,41.04834943,7.435976878,Urban,29-09-2022,16:37,32863.35,Agra
Maharashtra,38.23170891,5.308657593,Urban,22-12-2020,05:09,24545.18,Pune
Delhi,42.5386585,7.272471362,Urban,23-06-2023,08:31,28493.15,Unknown
Rajasthan,39.75333891,3.379861455,Urban,18-06-2021,15:02,45070.31,Jodhpur
Rajasthan,39.7477558,9.686258665,Urban,22-03-2023,05:50,44904.25,Udaipur
Uttar Pradesh,7.548933068,6.168982684,Urban,20-08-2019,22:22,61076.87,Kanpur
West Bengal,38.83847811,5.131344263,Urban,07-08-2022,19:11,15443.92,Durgapur
Tamil Nadu,29.29913578,9.02545289,Urban,04-10-2022,15:35,38773.68,Madurai
Uttar Pradesh,20.21777807,5.269203903,Urban,25-10-2020,05:49,41319.43,Agra
Gujarat,7.260584976,9.980213958,Urban,25-11-2020,13:50,22402.97,Vadodara
Tamil Nadu,32.10695099,7.834196834,Urban,20-07-2021,12:29,27772.08,Madurai
Delhi,18.12807002,7.547046252,Urban,17-07-2021,22:25,19493.58,Unknown
Tamil Nadu,23.7110506,4.06299592,Urban,13-06-2023,01:36,8758.46,Chennai
West Bengal,32.26913748,7.269038914,Urban,24-03-2023,23:09,16313.07,Asansol
Tamil Nadu,41.47098188,4.085874539,Urban,19-01-2019,16:05,8145.14,Madurai
Delhi,38.01747662,8.485229096,Urban,31-03-2020,23:09,46436.46,Unknown
West Bengal,23.02388516,3.968816776,Urban,26-07-2020,12:32,48101.7,Asansol
Telangana,20.5113263,5.511828945,Urban,02-06-2019,22:24,67597.97,Unknown
Rajasthan,14.59118955,6.337129489,Urban,04-01-2019,13:04,43013.8,Kota
Rajasthan,19.89707005,8.636354945,Urban,27-11-2021,06:59,4482.2,Jodhpur
Madhya Pradesh,9.441855492,7.429321394,Urban,14-02-2022,04:26,58247.85,Gwalior
Telangana,43.84422033,8.235771524,Urban,31-07-2020,06:18,61476.01,Unknown
Telangana,27.95669776,4.707818773,Urban,05-01-2023,17:00,32733.67,Unknown
Tamil Nadu,10.11223371,4.660844139,Urban,18-03-2020,06:07,36202.71,Coimbatore
Rajasthan,19.11224037,5.664339551,Urban,20-07-2023,02:21,55846.38,Kota
Delhi,26.88156574,3.130766084,Urban,02-03-2020,06:10,31981.91,Unknown
Karnataka,26.31542547,8.814928937,Urban,26-06-2020,06:10,57586.26,Hubli
Karnataka,6.420134749,5.589780575,Rural,04-07-2022,03:55,6580.02,Bengaluru
West Bengal,43.03364137,3.472875463,Rural,06-07-2019,15:49,14380.92,Asansol
Rajasthan,16.01502726,9.105508256,Rural,26-07-2022,13:09,24611.17,Jaipur
Rajasthan,5.647386757,9.774784819,Urban,07-08-2019,14:44,38405.68,Kota
Karnataka,8.057760358,7.526091765,Urban,01-09-2019,20:20,51823,Hubli
Rajasthan,28.20779613,5.49611793,Urban,01-07-2019,20:39,58751.41,Udaipur
Tamil Nadu,10.51142083,5.896298906,Urban,13-12-2019,07:45,22669.81,Madurai
Gujarat,6.668991714,4.793089644,Urban,26-11-2019,06:39,3516.27,Ahmedabad
Maharashtra,20.18505866,7.978927456,Urban,10-07-2022,01:34,59319.93,Pune
Telangana,29.91044769,5.49250453,Urban,17-11-2019,11:41,37390.86,Unknown
Madhya Pradesh,9.473592194,3.227386553,Rural,19-05-2021,03:11,13503.86,Gwalior
West Bengal,17.53311329,3.323135268,Urban,21-07-2020,16:35,34521.91,Siliguri
Gujarat,21.71042686,7.303246947,Urban,13-06-2022,21:26,46386.05,Ahmedabad
Karnataka,11.37840391,5.032688051,Urban,19-04-2023,04:36,57516.99,Hubli
Telangana,25.24295594,4.180141468,Urban,17-03-2021,01:34,37467.67,Unknown
Rajasthan,8.408563476,6.86655535,Urban,23-07-2023,09:07,18740.87,Kota
Madhya Pradesh,6.860739854,4.94905546,Rural,29-11-2020,16:05,63256.74,Bhopal
Rajasthan,25.79341469,3.513347062,Urban,05-05-2023,01:13,40682.18,Udaipur
Delhi,14.91587891,4.355076733,Urban,16-10-2019,17:06,25137.9,Unknown
Delhi,8.814952316,8.445347039,Rural,16-10-2019,09:30,16033.44,Unknown
Madhya Pradesh,21.9565035,8.964080269,Urban,29-04-2019,21:58,49304.43,Indore
Madhya Pradesh,41.60562958,9.105033402,Urban,13-08-2022,14:11,16247.89,Indore
Karnataka,33.96769787,6.743830131,Urban,06-11-2021,14:08,10084.93,Bengaluru
Madhya Pradesh,37.62463661,9.656657924,Urban,14-11-2021,19:08,32378.38,Bhopal
Tamil Nadu,39.87655955,4.061681754,Rural,15-09-2019,13:39,21736.5,Madurai
Rajasthan,43.90510966,7.748493104,Urban,06-12-2020,23:28,37824.9,Kota
Gujarat,35.52986294,7.929831039,Urban,10-08-2023,06:20,7339.1,Rajkot
Uttar Pradesh,29.33631688,3.372297822,Rural,31-08-2021,19:09,42656.58,Kanpur
Madhya Pradesh,19.61703521,4.977133489,Urban,21-05-2019,14:04,21701.41,Gwalior
West Bengal,12.26572946,9.643336949,Urban,13-12-2022,21:05,612.8,Kolkata
Delhi,32.46639496,8.313202338,Urban,05-06-2021,20:57,9285.4,Unknown
Tamil Nadu,44.79799944,3.382857508,Rural,14-09-2021,10:52,65616.66,Coimbatore
Telangana,23.69434738,6.785556815,Rural,24-05-2023,10:36,51906.08,Unknown
Uttar Pradesh,33.94717472,7.540355272,Urban,30-07-2021,14:32,16783.99,Agra
Gujarat,24.803698,9.811583766,Rural,30-07-2021,02:23,48674.09,Surat
Uttar Pradesh,22.27733693,8.01503891,Rural,06-09-2019,06:19,41432.29,Lucknow
Madhya Pradesh,21.41222454,7.470577683,Rural,27-03-2019,05:54,65721.39,Gwalior
Karnataka,25.18498732,9.359692252,Urban,29-01-2020,14:46,24963.32,Mangalore
Delhi,19.67582647,7.626560874,Urban,26-03-2022,12:11,38891.86,Unknown
Delhi,34.95093287,9.524854425,Urban,10-12-2022,06:25,5227.4,Unknown
Telangana,39.97088106,6.449433117,Urban,03-11-2019,20:40,24706.57,Unknown
Karnataka,40.31541227,8.029955216,Urban,25-04-2023,06:55,56626.62,Mangalore
Rajasthan,14.10794854,7.422282608,Urban,16-09-2021,21:26,30340.81,Jaipur
Maharashtra,40.83636555,6.867682164,Rural,21-03-2021,16:10,19711.32,Pune
Tamil Nadu,18.66204927,5.268662115,Rural,25-01-2022,07:02,8847.79,Salem
Delhi,17.37230662,9.326449004,Urban,21-10-2022,14:25,39091.5,Unknown
West Bengal,34.0702423,4.890312566,Urban,21-09-2019,10:50,42303.31,Kolkata
Delhi,17.1878536,4.115726017,Urban,26-01-2021,03:59,22633.23,Unknown
Uttar Pradesh,7.118656224,7.984350779,Urban,06-11-2022,16:13,64605.52,Varanasi
Delhi,19.94471089,6.825869873,Urban,24-08-2020,22:24,1870.47,Unknown
Delhi,33.85862401,4.840024649,Rural,01-03-2023,19:38,21381.07,Unknown
Maharashtra,18.07833681,9.092153593,Rural,16-01-2019,14:58,57832.54,Nagpur
Maharashtra,30.18236224,5.003449509,Rural,28-06-2022,22:11,24164.75,Mumbai
Gujarat,31.40477777,3.446474518,Rural,14-09-2021,01:13,14999.53,Surat
Rajasthan,34.34944047,3.10756702,Urban,13-03-2023,02:21,33314.17,Jodhpur
West Bengal,40.88521865,9.459985094,Rural,07-12-2023,19:32,47279.6,Kolkata
Delhi,22.30257997,5.815246701,Urban,07-01-2019,07:20,8239.79,Unknown
Delhi,11.65728307,4.494422346,Urban,21-08-2023,08:40,68454.46,Unknown
Tamil Nadu,17.75702862,6.969709901,Urban,27-04-2020,06:47,47953.94,Chennai
Maharashtra,22.28669021,6.415199653,Urban,20-10-2021,00:44,12919.59,Nashik
West Bengal,33.55565877,9.998898573,Urban,26-09-2021,00:10,51003.28,Durgapur
Telangana,5.524885022,9.219534828,Urban,21-10-2019,01:18,25853.88,Unknown
Gujarat,17.63141534,4.897716093,Rural,14-05-2020,11:06,26779.77,Vadodara
Rajasthan,36.19370324,7.883966341,Urban,23-09-2020,00:31,46999.44,Jodhpur
Karnataka,31.83430813,5.710222905,Urban,07-11-2019,10:40,54767.08,Mysuru
Rajasthan,34.26959894,5.55106364,Rural,08-08-2020,05:44,9875.88,Udaipur
Uttar Pradesh,37.47243078,5.569751302,Urban,06-11-2023,13:39,31132.51,Varanasi
Delhi,36.32942876,7.474786196,Rural,11-11-2021,21:39,32892.69,Unknown
Gujarat,32.28732665,6.765887088,Urban,29-12-2022,17:11,23634.09,Ahmedabad
Uttar Pradesh,22.58646129,8.285349455,Rural,17-01-2019,21:00,22906.71,Kanpur
West Bengal,44.34393316,4.070900924,Rural,25-11-2019,13:56,4292.53,Siliguri
Karnataka,27.76292782,5.977989325,Urban,23-06-2021,19:43,50234.07,Bengaluru
