Datetime,State,City,UrbanRural,Hour,DayOfWeek,Month,IsWeekend,Temperature,Electricity_Price,Hourly_Electricity_Demand
2023-01-01 00:00:00,Tamil Nadu,Chennai,Urban,0,6,1,1,7.78,4.62,765.95
2023-01-01 01:00:00,Karnataka,Bengaluru,Urban,1,6,1,1,5.98,4.57,725.36
2023-01-01 02:00:00,Karnataka,Bengaluru,Urban,2,6,1,1,9.06,4.73,777.13
2023-01-01 03:00:00,Uttar Pradesh,Lucknow,Semi-Urban,3,6,1,1,10.48,5.73,354.34
2023-01-01 04:00:00,Delhi,New Delhi,Urban,4,6,1,1,5.12,4.19,780.17
2023-01-01 05:00:00,Tamil Nadu,Chennai,Urban,5,6,1,1,8.59,7.14,643.02
2023-01-01 06:00:00,Karnataka,Bengaluru,Urban,6,6,1,1,10.28,5.87,898.27
2023-01-01 07:00:00,Uttar Pradesh,Lucknow,Semi-Urban,7,6,1,1,8.95,4.05,695.64
2023-01-01 08:00:00,Delhi,New Delhi,Urban,8,6,1,1,8.8,6.74,885.42
2023-01-01 09:00:00,Tamil Nadu,Chennai,Urban,9,6,1,1,9.97,4.14,847.11
2023-01-01 10:00:00,Delhi,New Delhi,Urban,10,6,1,1,11.65,5.25,688.96
2023-01-01 11:00:00,Maharashtra,Pune,Urban,11,6,1,1,10.44,7.69,794.09
2023-01-01 12:00:00,Tamil Nadu,Chennai,Urban,12,6,1,1,9.77,5.55,734.94
2023-01-01 13:00:00,Maharashtra,Mumbai,Urban,13,6,1,1,9.08,5.12,802.86
2023-01-01 14:00:00,Tamil Nadu,Chennai,Urban,14,6,1,1,8.09,4.66,697.61
2023-01-01 15:00:00,Delhi,New Delhi,Urban,15,6,1,1,11.16,6.92,794.39
2023-01-01 16:00:00,Delhi,New Delhi,Urban,16,6,1,1,11.4,6.6,758.68
2023-01-01 17:00:00,Tamil Nadu,Chennai,Urban,17,6,1,1,10.66,5.32,798.78
2023-01-01 18:00:00,Uttar Pradesh,Lucknow,Semi-Urban,18,6,1,1,6.85,6.24,781.9
2023-01-01 19:00:00,Karnataka,Bengaluru,Urban,19,6,1,1,10.72,7.04,1017.74
2023-01-01 20:00:00,Maharashtra,Mumbai,Urban,20,6,1,1,9.93,6.09,1128.23
2023-01-01 21:00:00,Maharashtra,Pune,Urban,21,6,1,1,7.24,7.58,1035.96
2023-01-01 22:00:00,Delhi,New Delhi,Urban,22,6,1,1,10.18,7.63,950.62
2023-01-01 23:00:00,Uttar Pradesh,Lucknow,Semi-Urban,23,6,1,1,8.42,4.31,487.19
2023-01-02 00:00:00,Karnataka,Bengaluru,Urban,0,0,1,0,11.41,6.5,918.05
